Population,Origin,F.sanfranciscensis,L.brevis,L.plantarum,C.paralimentarius,A.malorum,S.cerevisiae,W.anomalus,K.humilis,K.servazzii
20,L.brevis,0,0,0.60707557,0,0.272137325,0,0.117228386,0.003558719,0
21,L.brevis,0,0,0.53667263,0,0.178890877,0.003577818,0.27549195,0.005366726,0
22,L.brevis,0,0,0.494148244,0,0.286085826,0,0.213263979,0.006501951,0
23,L.brevis,0,0,0.565796678,0,0.292024092,0,0.138711444,0.003467786,0
24,L.brevis,0,0,0.441176471,0,0.245098039,0,0.303921569,0.009803922,0
25,L.brevis,0,0,0.641350211,0,0.253164557,0,0.102953586,0.002531646,0
26,L.brevis,0,0,0.493131384,0,0.317013033,0,0.183163086,0.006692497,0
27,L.brevis,0,0,0.590115564,0,0.245881485,0,0.15736415,0.0066388,0
28,L.brevis,0,0,0.667693888,0,0.154083205,0,0.174627632,0.003595275,0
29,L.brevis,0,0,0.68447781,0,0.198719364,0.002207993,0.11260764,0.001987194,0
30,L.plantarum,0,0.165398611,0,0.297717499,0.198478333,0.002315581,0.334105194,0.001984783,0
31,L.plantarum,0,0.186497576,0,0.372995151,0.298396121,0.00074599,0.138008206,0.003356956,0
32,L.plantarum,0,0.205444273,0,0.30816641,0.231124807,0.001797637,0.246533128,0.006933744,0
33,L.plantarum,0,0.356379187,0,0.249465431,0.142551675,0.001069138,0.245901639,0.004632929,0
34,L.plantarum,0,0.078339209,0,0.470035253,0.195848022,0.00195848,0.250685468,0.003133568,0
35,L.plantarum,0,0.185048113,0,0.370096225,0.222057735,0.00296077,0.214655811,0.005181347,0
36,L.plantarum,0,0.142382534,0,0.474608448,0.142382534,0.001423825,0.237304224,0.001898434,0
37,L.plantarum,0,0.28280543,0,0.395927602,0.056561086,0.002262443,0.260180995,0.002262443,0
38,L.plantarum,0,0.416294975,0,0.237882843,0.148676777,0.001486768,0.19327981,0.002378828,0
39,L.plantarum,0,0.21905805,0,0.365096751,0.21905805,0.001460387,0.193501278,0.001825484,0
40,C.paralimentarius,0,0.171939477,0.601788171,0,0.137551582,0.000343879,0.087689133,0.000687758,0
41,C.paralimentarius,0,0.145620969,0.561680882,0,0.208029956,0.00062409,0.081131683,0.002912419,0
42,C.paralimentarius,0,0.116360251,0.442168955,0,0.255992553,0.000232721,0.176867582,0.008377938,0
43,C.paralimentarius,0,0.162677202,0.464792006,0,0.232396003,0,0.137113642,0.003021148,0
44,C.paralimentarius,0,0.151343171,0.624290579,0,0.075671585,0,0.143776012,0.004918653,0
45,C.paralimentarius,0,0.204206657,0.612619971,0,0.061261997,0.000204207,0.120481928,0.00122524,0
46,C.paralimentarius,0,0.189010396,0.553530444,0,0.16200891,0.000135007,0.093155124,0.002160119,0
47,C.paralimentarius,0,0.103794428,0.326211059,0,0.563455465,0.000281728,0.005782832,0.000474489,0
48,C.paralimentarius,0,0.224173361,0.485708948,0,0.168130021,0,0.117691014,0.004296656,0
49,C.paralimentarius,0,0.351031154,0.372970601,0,0.175515577,0.000219394,0.098727512,0.001535761,0
50,A.malorum,0,0.051085568,0.817369093,0,0,0,0.130268199,0.001277139,0
51,A.malorum,0,0.149031297,0.617415372,0,0,0,0.229934,0.003619331,0
52,A.malorum,0,0.185485741,0.67238581,0,0,0,0.139114306,0.003014143,0
53,A.malorum,0,0.100908174,0.766902119,0,0,0,0.129162462,0.003027245,0
54,A.malorum,0,0.275,0.575,0,0,0.001,0.1475,0.0015,0
55,A.malorum,0,0.227208179,0.624822494,0,0,0,0.147685317,0.00028401,0
56,A.malorum,0,0.114187839,0.570939195,0,0,0.00028547,0.308307165,0.006280331,0
57,A.malorum,0,0.213037921,0.660417554,0,0,0.000213038,0.125692373,0.000639114,0
58,A.malorum,0,0.242424242,0.575757576,0,0,0,0.178787879,0.003030303,0
59,A.malorum,0,0.151446312,0.726942299,0,0,0.001514463,0.118128124,0.001968802,0
60,S.cerevisiae,0,0.183318057,0.572868928,0,0.114573786,0,0.123739688,0.005499542,0
61,S.cerevisiae,0,0.132604011,0.580142549,0,0.165755014,0,0.11934361,0.002154815,0
62,S.cerevisiae,0,0.189125296,0.472813239,0,0.189125296,0,0.146572104,0.002364066,0
63,S.cerevisiae,0,0.034246575,0.51369863,0,0.308219178,0,0.140410959,0.003424658,0
64,S.cerevisiae,0,0.077041602,0.667693888,0,0.154083205,0,0.09758603,0.003595275,0
65,S.cerevisiae,0,0.156739812,0.694133453,0,0.067174205,0,0.080609046,0.001343484,0
66,S.cerevisiae,0,0.103519669,0.5521049,0,0.172532781,0,0.169082126,0.002760524,0
67,S.cerevisiae,0,0.102494021,0.734540485,0,0.085411684,0,0.075162282,0.002391527,0
68,S.cerevisiae,0,0.217729393,0.466562986,0,0.155520995,0,0.152410575,0.00777605,0
69,S.cerevisiae,0,0.081984013,0.573888092,0,0.266448043,0,0.075835212,0.00184464,0
70,W.anomalus,0,0.099890121,0.449505544,0,0.449505544,0.000574368,0,0.000524423,0
71,W.anomalus,0,0.152701427,0.527514021,0,0.319284802,0.000194347,0,0.000305403,0
72,W.anomalus,0,0.108995785,0.526812963,0,0.363319285,0.000563145,0,0.000308821,0
73,W.anomalus,0,0.057655718,0.461245748,0,0.480464321,0.000307497,0,0.000326716,0
74,W.anomalus,0,0.156715248,0.470145745,0,0.372198715,0.000430967,0,0.000509325,0
75,W.anomalus,0,0.10701673,0.499411408,0,0.392394678,0.000570756,0,0.000606428,0
76,W.anomalus,0,0.116162907,0.371721302,0,0.51111679,0.000557582,0,0.000441419,0
77,W.anomalus,0,0.094264922,0.471324611,0,0.433618642,0.000659854,0,0.000131971,0
78,W.anomalus,0,0.254727148,0.372293524,0,0.372293524,0.00031351,0,0.000372294,0
79,W.anomalus,0,0.195499175,0.521331132,0,0.282387697,0.000456165,0,0.000325832,0
80,K.humilis,0,0.176848875,0.627009646,0,0.080385852,0,0.115755627,0,0
81,K.humilis,0,0.157232704,0.597484277,0,0.157232704,0,0.088050314,0,0
82,K.humilis,0,0.118644068,0.593220339,0,0.169491525,0,0.118644068,0,0
83,K.humilis,0,0.204081633,0.519480519,0,0.222634508,0,0.05380334,0,0
84,K.humilis,0,0.1875,0.645833333,0,0.083333333,0,0.083333333,0,0
85,K.humilis,0,0.277777778,0.491452991,0,0.106837607,0,0.123931624,0,0
86,K.humilis,0,0.12195122,0.679442509,0,0.12195122,0,0.076655052,0,0
87,K.humilis,0,0.051546392,0.695876289,0,0.180412371,0,0.072164948,0,0
88,K.humilis,0,0.279569892,0.537634409,0,0.129032258,0,0.053763441,0,0
89,K.humilis,0,0.123152709,0.591133005,0,0.197044335,0,0.088669951,0,0
90,K.servazzii,0,0.225903614,0.502008032,0,0.100401606,0,0.170682731,0.001004016,0
91,K.servazzii,0,0.265310635,0.46429361,0,0.176873756,0,0.092858722,0.000663277,0
92,K.servazzii,0,0.20698577,0.595084088,0,0.129366106,0,0.067270375,0.001293661,0
93,K.servazzii,0,0.087924971,0.586166471,0,0.234466589,0,0.090855803,0.000586166,0
94,K.servazzii,0,0.107296137,0.608011445,0,0.178826896,0,0.103719599,0.002145923,0
95,K.servazzii,0,0.084835631,0.615058324,0,0.254506893,0,0.044538706,0.001060445,0
96,K.servazzii,0,0.135256988,0.608656447,0,0.15779982,0.000225428,0.096934175,0.001127142,0
97,K.servazzii,0,0.202503682,0.625920471,0,0.092047128,0.000184094,0.07916053,0.000184094,0
98,K.servazzii,0,0.113195343,0.69534282,0,0.113195343,0.000161708,0.077619664,0.000485123,0
99,K.servazzii,0,0.029154519,0.84548105,0,0.058309038,0,0.067055394,0,0
